dispnum	version	change
4514	2.1	FATALITY changed to 0 None. FATALPRE changed to 0.
4522	2.1	STDAY changed to 10. ENDDAY changed to 13.
4526	2.1	FATALITY changed to 1 1-25 deaths. FATALPRE changed to 3.
4528	2.1	STDAY changed to -9. ENDDAY changed to -9.
4542	2.1	STDAY changed to 27. ENDDAY changed to 27.
4545	2.1	FATALITY changed to 1 1-25 deaths. FATALPRE changed to 1.
4549	2.1	Dropped MID#4549.
4551	2.1	STDAY changed to 13.
4552	2.1	STMON changed to 3. STDAY changed to 4.
4553	2.1	STDAY changed to -9.
4555	2.1	STMON changed to 9.
4559	2.1	HIACT changed to 11 Fortify border [3].
4567	2.1	ENDDAY changed to 27.
4568	2.1	Dropped MID#4568.
4571	2.1	Dropped MID#4571.
4572	2.1	Dropped MID#4572.
4575	2.1	Dropped MID#4575.
4577	2.1	ENDMON changed to 1. ENDDAY changed to 22.
4578	2.1	ENDDAY changed to 7.
4581	2.1	STMON changed to 6. STDAY changed to 22. ENDYEAR changed to 2008. ENDMON changed to 10. ENDDAY changed to 29.
4582	2.1	STMON changed to 1. STDAY changed to 31.
4587	2.1	Dropped MID#4587.
4598	2.1	STDAY changed to 30. ENDMON changed to 9. ENDDAY changed to 30.
